Post Caption,Date,Time,Reach,Impressions,Likes,Saves,Comments,Shares,Profile Visits,Engagement Rate (%),Duration,Total Watch Time,Avg Watch Time (s)
"Average game dev experience... To keep up with our indie game studio, give us a follow! #github #gamedevelopment #indiegames #gamingmemes #funny","Feb 24, 2026",6:04 PM,179,403.0,41,27.0,1.0,13.0,0.0,22.91,0:09,37:57,40.9
How to play greedy piggies explained by pigs 🐖 #gamedev #indiegames #gamingmemes,"Mar 8, 2026",6:03 PM,93,203.0,38,19.0,0.0,18.0,1.0,40.86,0:16,33:28,37.6
"POV: You’re walking into the studio that’s building the next game to go on your wishlist! 🤫 We're keeping the gameplay under wraps for a little longer, but here is where it’s all going down! . . . #indiedev #screenshotsaturday #gamedev #unrealengine #gaming","Feb 17, 2026",6:03 PM,401,731.0,56,39.0,0.0,17.0,0.0,13.97,0:08,1:20:02,40.3
The chosen level theme is here ! Which one is your favourite ? ⬇️ #gamedev #indie #leveldesign,"Mar 5, 2026",6:04 PM,114,200.0,28,13.0,0.0,15.0,0.0,24.56,0:09,23:00,37.9
"The Secret To Making Levels In A Game. #GameDev, #Gaming, #IndieDev","Feb 27, 2026",6:04 PM,172,314.0,26,23.0,0.0,3.0,0.0,15.12,0:14,55:05,44.1
Meet the Nobody ! artist - @tsaeire #gamesart #indiestudio #characterart,"Apr 5, 2026",7:31 PM,794,,9,,,,,,,,
Meet the nepo piggy ! artist - @nix_nephili #gameart #indiestudio #characterart,"Mar 29, 2026",7:30 PM,773,,4,,,,,,,,
"If you like this game, try our game ! Greedy piggies is coming soon... #games #indiestudio #gamedev","Mar 31, 2026",7:31 PM,750,,2,,,,,,,,
Our character artist Anna has given us a little insight into their role ! Artist - @funkshra #gameart #characterart #indiestudio,"Mar 17, 2026",7:32 PM,741,,41,,,,,,,,
One of our animators has given us an insight into their creative process for this project and which character they like best ! #gamesanimation #indie #gamestudio,"Mar 20, 2026",7:31 PM,740,,8,,,,,,,,
What made @funkshra want to become a game artist ? and what tips do they have for people wanting to start out? #gamesart #indiestudio #interview,"Mar 25, 2026",7:32 PM,682,,41,,,,,,,,
Meet the Dictator ! Artist - @funkshra #gameart #games #indiestudio,"Mar 22, 2026",7:31 PM,536,,36,,,,,,,,
Meet the Entrepreneur ! Our artists have been busy making some mug shots of all of the characters in the game. Expect to see the others be released throughout the next coming week ! Artist - @cypurr_dra #explorepage #gamesart #indie,"Mar 15, 2026",7:31 PM,504,,30,,,,,,,,
@funkshra talks about the process behind creating the Dictator ! #gamesart #indiestudio #interview,"Apr 2, 2026",7:31 PM,431,,24,,,,,,,,
Our character artist Anna has given us a little insight into their role ! Artist - @funkshra #gameart #characterart #indiestudio,"Mar 17, 2026",7:30 PM,368,,25,,,,,,,,
Meet the Entrepreneur ! Our artists have been busy making some mug shots of all of the characters in the game. Expect to see the others be released throughout the next coming week ! Artist - @cypurr_dra #fyp #gamesart #indie,"Mar 15, 2026",7:31 PM,350,,19,,,,,,,,
@funkshra talks about the process behind creating the Dictator ! #gamesart #indiestudio #interview,"Apr 2, 2026",7:30 PM,281,,27,,,,,,,,
What made @funkshra want to become a game artist ? and what tips do they have for people wanting to start out? #gamesart #indiestudio #interview,"Mar 25, 2026",7:31 PM,277,,16,,,,,,,,
The official greedy piggies website is now live ! Find the link to it on our linktree in our bio. #gamesdevelopment #indiestudio #website,"Apr 12, 2026",7:31 PM,269,,17,,,,,,,,
Meet old money ! artist - @SunnyTheOpossum via Tumblr #gamesart #indiestudio #characterart,"Apr 9, 2026",7:31 PM,260,,12,,,,,,,,
Meet the nepo piggy ! artist - @nix_nephili #gameart #indiestudio #characterart,"Mar 29, 2026",7:31 PM,255,,21,,,,,,,,
Meet old money ! artist - @SunnyTheOpossum via Tumblr #gamesart #indiestudio #characterart,"Apr 9, 2026",7:31 PM,244,,4,,,,,,,,
The official greedy piggies website is now live ! Find the link to it on our linktree in our bio. #gamesdevelopment #indiestudio #website,"Apr 12, 2026",7:30 PM,239,,2,,,,,,,,
Meet the Nobody ! artist - @tsaeire #gamesart #indiestudio #characterart,"Apr 5, 2026",7:32 PM,231,,13,,,,,,,,
One of our animators has given us an insight into their creative process for this project and which character they like best ! animator - @itsjustpetah777 #gamesanimation #indie #gamestudio,"Mar 20, 2026",7:31 PM,159,,15,,,,,,,,
"If you like this game, try our game ! Greedy piggies is coming soon... #games #indiestudio #gamedev","Mar 31, 2026",7:31 PM,155,,12,,,,,,,,
Meet the Dictator ! Artist - @funkshra #gameart #games #indiestudio,"Mar 22, 2026",7:30 PM,36,,3,,,,,,,,
